elapsed_year,years_bp,people,expected_survivors,latitude,longitude,elevation_m,precipitation_mm_year,accounting_valid
0,100000,100000,100000.00000000,28.00000000,37.00000000,1043.08105469,54.39062119,true
1,99999,79184,79192.20646268,28.00000000,37.00000000,1043.08105469,54.38722818,true
2,99998,71658,71667.18967996,28.00000000,37.00000000,1043.08105469,54.38383518,true
3,99997,68419,68424.05289603,28.00000000,37.00000000,1043.08105469,54.38044218,true
4,99996,66755,66745.08609014,28.00000000,37.00000000,1043.08105469,54.37704918,true
5,99995,65728,65669.15902055,28.00000000,37.00000000,1043.08105469,54.37365618,true
6,99994,64891,64832.23085908,28.00000000,37.00000000,1043.08105469,54.37026318,true
7,99993,64156,64092.37033822,28.00000000,37.00000000,1043.08105469,54.36687017,true
8,99992,63464,63393.52271169,28.00000000,37.00000000,1043.08105469,54.36347717,true
9,99991,62771,62713.36738627,28.00000000,37.00000000,1043.08105469,54.36008417,true
10,99990,62076,62042.91771850,28.00000000,37.00000000,1043.08105469,54.35669117,true
11,99989,61448,61378.46747627,28.00000000,37.00000000,1043.08105469,54.35329817,true
12,99988,60780,60718.39974484,28.00000000,37.00000000,1043.08105469,54.34990517,true
13,99987,60135,60061.92044223,28.00000000,37.00000000,1043.08105469,54.34651217,true
14,99986,59487,59408.55513871,28.00000000,37.00000000,1043.08105469,54.34311916,true
15,99985,58806,58757.94883204,28.00000000,37.00000000,1043.08105469,54.33972616,true
16,99984,58126,58109.78599098,28.00000000,37.00000000,1043.08105469,54.33633316,true
17,99983,57465,57463.75833806,28.00000000,37.00000000,1043.08105469,54.33294016,true
18,99982,56850,56819.55157288,28.00000000,37.00000000,1043.08105469,54.32954716,true
19,99981,56186,56176.83960206,28.00000000,37.00000000,1043.08105469,54.32615416,true
20,99980,55551,55535.28173717,28.00000000,37.00000000,1043.08105469,54.32276115,true
21,99979,54927,54894.52106104,28.00000000,37.00000000,1043.08105469,54.31936815,true
22,99978,54257,54254.18325052,28.00000000,37.00000000,1043.08105469,54.31597515,true
23,99977,53613,53613.87557704,28.00000000,37.00000000,1043.08105469,54.31258215,true
24,99976,52963,52973.18597848,28.00000000,37.00000000,1043.08105469,54.30918915,true
25,99975,52329,52331.68216566,28.00000000,37.00000000,1043.08105469,54.30579615,true
26,99974,51651,51688.91075522,28.00000000,37.00000000,1043.08105469,54.30240314,true
27,99973,51001,51044.39643352,28.00000000,37.00000000,1043.08105469,54.29901014,true
28,99972,50365,50397.64116233,28.00000000,37.00000000,1043.08105469,54.29561714,true
29,99971,49720,49748.12344155,28.00000000,37.00000000,1043.08105469,54.29222414,true
30,99970,49064,49095.29764750,28.00000000,37.00000000,1043.08105469,54.28883114,true
31,99969,48374,48438.59346884,28.00000000,37.00000000,1043.08105469,54.28543814,true
32,99968,47731,47777.41546595,28.00000000,37.00000000,1043.08105469,54.28204514,true
33,99967,47028,47111.14278344,28.00000000,37.00000000,1043.08105469,54.27865213,true
34,99966,46374,46439.12905032,28.00000000,37.00000000,1043.08105469,54.27525913,true
35,99965,45681,45760.70250700,28.00000000,37.00000000,1043.08105469,54.27186613,true
36,99964,45031,45075.16640398,28.00000000,37.00000000,1043.08105469,54.26847313,true
37,99963,44341,44381.79972298,28.00000000,37.00000000,1043.08105469,54.26508013,true
38,99962,43637,43679.85827789,28.00000000,37.00000000,1043.08105469,54.26168713,true
39,99961,42961,42968.57625964,28.00000000,37.00000000,1043.08105469,54.25829412,true
40,99960,42270,42247.16829683,28.00000000,37.00000000,1043.08105469,54.25490112,true
41,99959,41525,41514.83211144,28.00000000,37.00000000,1043.08105469,54.25150812,true
42,99958,40781,40770.75185699,28.00000000,37.00000000,1043.08105469,54.24811512,true
43,99957,39969,40014.10223476,28.00000000,37.00000000,1043.08105469,54.24472212,true
44,99956,39173,39244.05349106,28.00000000,37.00000000,1043.08105469,54.24132912,true
45,99955,38394,38459.77740647,28.00000000,37.00000000,1043.08105469,54.23793612,true
46,99954,37605,37660.45439376,28.00000000,37.00000000,1043.08105469,54.23454311,true
47,99953,36829,36845.28182685,28.00000000,37.00000000,1043.08105469,54.23115011,true
48,99952,36013,36013.48372540,28.00000000,37.00000000,1043.08105469,54.22775711,true
49,99951,35183,35164.32192033,28.00000000,37.00000000,1043.08105469,54.22436411,true
50,99950,34314,34297.10882118,28.00000000,37.00000000,1043.08105469,54.22097111,true
51,99949,33384,33411.22189792,28.00000000,37.00000000,1043.08105469,54.21757811,true
52,99948,32475,32506.11997438,28.00000000,37.00000000,1043.08105469,54.21418510,true
53,99947,31564,31581.36140767,28.00000000,37.00000000,1043.08105469,54.21079210,true
54,99946,30622,30636.62419558,28.00000000,37.00000000,1043.08105469,54.20739910,true
55,99945,29595,29671.72800946,28.00000000,37.00000000,1043.08105469,54.20400610,true
56,99944,28633,28686.65809321,28.00000000,37.00000000,1043.08105469,54.20061310,true
57,99943,27572,27681.59089541,28.00000000,37.00000000,1043.08105469,54.19722010,true
58,99942,26577,26656.92121143,28.00000000,37.00000000,1043.08105469,54.19382710,true
59,99941,25564,25613.29050217,28.00000000,37.00000000,1043.08105469,54.19043409,true
60,99940,24526,24551.61592605,28.00000000,37.00000000,1043.08105469,54.18704109,true
61,99939,23425,23473.11946916,28.00000000,37.00000000,1043.08105469,54.18364809,true
62,99938,22222,22379.35638708,28.00000000,37.00000000,1043.08105469,54.18025509,true
63,99937,21133,21272.24198179,28.00000000,37.00000000,1043.08105469,54.17686209,true
64,99936,20012,20154.07553400,28.00000000,37.00000000,1043.08105469,54.17346909,true
65,99935,18857,19027.56000127,28.00000000,37.00000000,1043.08105469,54.17007608,true
66,99934,17801,17895.81588658,28.00000000,37.00000000,1043.08105469,54.16668308,true
67,99933,16727,16762.38749527,28.00000000,37.00000000,1043.08105469,54.16329008,true
68,99932,15637,15631.23964840,28.00000000,37.00000000,1043.08105469,54.15989708,true
69,99931,14517,14506.74283282,28.00000000,37.00000000,1043.08105469,54.15650408,true
