year,people,females,births,deaths,cumulative_births,cumulative_deaths,accounting_valid
0,5000,2500,0,0,0,0,true
1,4840,2417,0,160,0,160,true
2,4702,2362,0,138,0,298,true
3,4603,2310,0,99,0,397,true
4,4493,2254,0,110,0,507,true
5,4428,2219,0,65,0,572,true
6,4336,2170,0,92,0,664,true
7,4241,2122,0,95,0,759,true
8,4135,2068,0,106,0,865,true
9,4049,2027,0,86,0,951,true
10,3968,1976,0,81,0,1032,true
11,3873,1934,0,95,0,1127,true
12,3778,1888,0,95,0,1222,true
13,3681,1847,0,97,0,1319,true
14,3595,1801,0,86,0,1405,true
15,3495,1757,0,100,0,1505,true
16,3426,1731,0,69,0,1574,true
17,3352,1690,0,74,0,1648,true
18,3264,1644,0,88,0,1736,true
19,3182,1604,0,82,0,1818,true
20,3099,1562,0,83,0,1901,true
21,3026,1524,0,73,0,1974,true
22,2935,1476,0,91,0,2065,true
23,2839,1426,0,96,0,2161,true
24,2754,1387,0,85,0,2246,true
25,2680,1357,0,74,0,2320,true
26,2602,1309,0,78,0,2398,true
27,2528,1268,0,74,0,2472,true
28,2448,1233,0,80,0,2552,true
29,2367,1188,0,81,0,2633,true
30,2286,1154,0,81,0,2714,true
31,2189,1104,0,97,0,2811,true
32,2129,1076,0,60,0,2871,true
33,2065,1040,0,64,0,2935,true
34,1994,999,0,71,0,3006,true
35,1932,972,0,62,0,3068,true
36,1875,942,0,57,0,3125,true
37,1806,910,0,69,0,3194,true
38,1739,882,0,67,0,3261,true
39,1673,849,0,66,0,3327,true
40,1599,812,0,74,0,3401,true
41,1553,789,0,46,0,3447,true
42,1492,755,0,61,0,3508,true
43,1416,715,0,76,0,3584,true
44,1331,672,0,85,0,3669,true
45,1274,645,0,57,0,3726,true
46,1216,611,0,58,0,3784,true
47,1145,579,0,71,0,3855,true
48,1091,557,0,54,0,3909,true
49,1032,526,0,59,0,3968,true
50,968,489,0,64,0,4032,true
51,920,462,0,48,0,4080,true
52,862,432,0,58,0,4138,true
53,813,407,0,49,0,4187,true
54,755,380,0,58,0,4245,true
55,694,354,0,61,0,4306,true
56,657,338,0,37,0,4343,true
57,616,319,0,41,0,4384,true
58,573,295,0,43,0,4427,true
59,534,274,0,39,0,4466,true
60,487,252,0,47,0,4513,true
61,450,227,0,37,0,4550,true
62,411,208,0,39,0,4589,true
63,384,195,0,27,0,4616,true
64,350,175,0,34,0,4650,true
65,328,167,0,22,0,4672,true
66,297,148,0,31,0,4703,true
67,268,130,0,29,0,4732,true
68,238,109,0,30,0,4762,true
69,221,98,0,17,0,4779,true
70,197,88,0,24,0,4803,true
71,171,81,0,26,0,4829,true
72,152,74,0,19,0,4848,true
73,129,65,0,23,0,4871,true
74,109,55,0,20,0,4891,true
75,92,46,0,17,0,4908,true
76,76,38,0,16,0,4924,true
77,65,31,0,11,0,4935,true
78,58,27,0,7,0,4942,true
79,46,19,0,12,0,4954,true
80,35,14,0,11,0,4965,true
81,28,10,0,7,0,4972,true
82,19,6,0,9,0,4981,true
83,15,5,0,4,0,4985,true
84,12,5,0,3,0,4988,true
85,11,5,0,1,0,4989,true
86,10,4,0,1,0,4990,true
87,8,3,0,2,0,4992,true
88,6,3,0,2,0,4994,true
89,5,3,0,1,0,4995,true
90,4,2,0,1,0,4996,true
91,3,1,0,1,0,4997,true
92,2,1,0,1,0,4998,true
93,1,1,0,1,0,4999,true
94,0,0,0,1,0,5000,true
95,0,0,0,0,0,5000,true
96,0,0,0,0,0,5000,true
97,0,0,0,0,0,5000,true
98,0,0,0,0,0,5000,true
99,0,0,0,0,0,5000,true
100,0,0,0,0,0,5000,true
101,0,0,0,0,0,5000,true
102,0,0,0,0,0,5000,true
103,0,0,0,0,0,5000,true
104,0,0,0,0,0,5000,true
105,0,0,0,0,0,5000,true
106,0,0,0,0,0,5000,true
107,0,0,0,0,0,5000,true
108,0,0,0,0,0,5000,true
109,0,0,0,0,0,5000,true
110,0,0,0,0,0,5000,true
111,0,0,0,0,0,5000,true
112,0,0,0,0,0,5000,true
113,0,0,0,0,0,5000,true
114,0,0,0,0,0,5000,true
115,0,0,0,0,0,5000,true
116,0,0,0,0,0,5000,true
117,0,0,0,0,0,5000,true
118,0,0,0,0,0,5000,true
119,0,0,0,0,0,5000,true
120,0,0,0,0,0,5000,true
121,0,0,0,0,0,5000,true
122,0,0,0,0,0,5000,true
123,0,0,0,0,0,5000,true
124,0,0,0,0,0,5000,true
125,0,0,0,0,0,5000,true
126,0,0,0,0,0,5000,true
127,0,0,0,0,0,5000,true
128,0,0,0,0,0,5000,true
129,0,0,0,0,0,5000,true
130,0,0,0,0,0,5000,true
131,0,0,0,0,0,5000,true
132,0,0,0,0,0,5000,true
133,0,0,0,0,0,5000,true
134,0,0,0,0,0,5000,true
135,0,0,0,0,0,5000,true
136,0,0,0,0,0,5000,true
137,0,0,0,0,0,5000,true
138,0,0,0,0,0,5000,true
139,0,0,0,0,0,5000,true
140,0,0,0,0,0,5000,true
141,0,0,0,0,0,5000,true
142,0,0,0,0,0,5000,true
143,0,0,0,0,0,5000,true
144,0,0,0,0,0,5000,true
145,0,0,0,0,0,5000,true
146,0,0,0,0,0,5000,true
147,0,0,0,0,0,5000,true
148,0,0,0,0,0,5000,true
149,0,0,0,0,0,5000,true
150,0,0,0,0,0,5000,true
151,0,0,0,0,0,5000,true
152,0,0,0,0,0,5000,true
153,0,0,0,0,0,5000,true
154,0,0,0,0,0,5000,true
155,0,0,0,0,0,5000,true
156,0,0,0,0,0,5000,true
157,0,0,0,0,0,5000,true
158,0,0,0,0,0,5000,true
159,0,0,0,0,0,5000,true
160,0,0,0,0,0,5000,true
