age_ka,PC1,sigma,q025,q25,median,q75,q975
0.0,8.49,5.23,-1.72,0.06,2.78,7.06,17.93
1.0,7.63,4.87,-2.9,0.0,2.2,6.43,16.39
2.0,4.01,4.83,-4.51,-0.31,1.2,5.56,13.59
3.0,4.35,4.72,-6.93,-2.23,0.0,3.73,12.08
4.0,3.13,4.74,-10.43,-4.72,-1.48,0.96,8.41
5.0,0.0,4.57,-12.34,-6.22,-3.27,0.0,5.12
6.0,-4.01,5.04,-16.88,-9.4,-5.75,-2.12,0.62
7.0,-6.11,5.9,-22.41,-13.74,-9.48,-5.55,-0.39
8.0,-9.09,6.79,-28.86,-18.85,-14.07,-9.99,-2.96
9.0,-15.83,8.3,-37.35,-26.37,-20.6,-14.93,-5.22
10.0,-24.59,10.3,-50.17,-36.45,-29.96,-22.69,-9.89
11.0,-35.85,11.93,-63.99,-48.54,-41.44,-32.96,-17.59
12.0,-51.05,12.3,-76.8,-61.03,-53.34,-44.9,-28.6
13.0,-66.3,12.38,-89.53,-73.87,-65.86,-57.4,-39.9
14.0,-76.64,12.35,-100.98,-86.33,-78.37,-70.27,-53.14
15.0,-86.57,12.34,-111.08,-97.87,-89.7,-81.45,-61.67
16.0,-98.06,12.28,-119.52,-106.84,-99.5,-90.81,-70.64
17.0,-107.3,11.96,-125.43,-114.56,-108.08,-99.14,-77.7
18.0,-113.01,11.16,-129.44,-120.12,-114.0,-106.78,-84.14
19.0,-116.68,10.61,-131.87,-124.64,-119.1,-112.09,-89.61
20.0,-117.56,10.08,-134.08,-128.7,-123.18,-115.95,-95.64
21.0,-120.01,9.14,-134.42,-130.24,-126.9,-120.65,-99.63
22.0,-125.82,7.66,-134.52,-131.36,-128.81,-123.91,-106.07
23.0,-128.72,5.27,-134.73,-131.71,-129.63,-126.07,-113.3
24.0,-130.0,4.38,-134.58,-131.77,-129.79,-126.89,-118.09
25.0,-126.89,4.5,-134.18,-130.68,-128.3,-125.14,-116.35
26.0,-122.4,5.15,-133.23,-128.73,-125.53,-121.93,-113.54
27.0,-118.28,5.44,-130.83,-124.87,-121.49,-117.58,-109.88
28.0,-115.19,5.74,-126.93,-120.83,-117.02,-113.21,-105.25
29.0,-110.87,5.64,-123.11,-116.79,-113.29,-109.3,-100.95
30.0,-105.78,5.72,-119.56,-113.17,-109.74,-105.99,-97.59
31.0,-103.5,5.81,-115.83,-109.64,-106.1,-102.23,-93.16
32.0,-100.63,6.14,-113.45,-107.06,-103.47,-99.26,-89.89
33.0,-97.48,6.4,-112.63,-105.56,-101.97,-97.54,-87.9
34.0,-97.37,6.64,-113.54,-105.2,-101.21,-96.78,-87.15
35.0,-98.83,6.67,-112.65,-104.5,-100.23,-95.57,-85.72
36.0,-99.39,6.81,-112.85,-103.73,-99.2,-94.5,-85.29
37.0,-95.27,6.54,-112.21,-102.29,-97.55,-93.19,-85.74
38.0,-93.1,6.16,-109.47,-99.05,-94.91,-91.08,-84.17
39.0,-90.3,5.66,-102.83,-95.06,-91.2,-87.57,-81.14
40.0,-85.9,5.74,-98.89,-91.29,-87.35,-83.83,-76.15
41.0,-79.76,5.67,-94.67,-87.45,-83.28,-79.86,-72.62
42.0,-75.76,5.2,-90.5,-84.13,-80.53,-77.25,-70.82
43.0,-73.91,4.72,-86.67,-81.6,-78.42,-75.33,-68.74
44.0,-76.18,4.8,-86.65,-80.74,-77.67,-74.38,-67.68
45.0,-74.49,4.75,-85.47,-80.55,-77.21,-73.74,-67.24
46.0,-75.78,5.1,-87.56,-80.94,-77.86,-74.11,-67.52
47.0,-73.7,5.05,-87.1,-80.77,-77.55,-73.79,-67.3
48.0,-76.71,5.49,-86.89,-79.49,-76.08,-72.6,-65.61
