age,birth_probability,survival_probability,initial_females,initial_males
0,0.0,0.7919220646268231,126,126
1,0.0,0.9049778113422055,64,64
2,0.0,0.9547472588444754,58,58
3,0.0,0.9754623303528166,55,55
4,0.0,0.9838800557072019,54,54
5,0.0,0.9872553848114041,53,53
6,0.0,0.9885880755443681,52,52
7,0.0,0.9890962430809563,51,51
8,0.0,0.989270901878776,50,50
9,0.0,0.9893093020561282,50,50
10,0.0,0.9892904739709152,49,49
11,0.0,0.9892459398455367,48,48
12,0.0,0.9891881323393696,48,48
13,0.0,0.989121804652445,47,47
14,0.0,0.9890486091580604,47,47
15,0.001967730106287289,0.9889689334985993,46,46
16,0.001967730106287289,0.9888826358262854,45,45
17,0.001967730106287289,0.9887893381182775,45,45
18,0.001967730106287289,0.9886885420064744,44,44
19,0.001967730106287289,0.9885796732349634,43,43
20,0.22842414005990386,0.9884620973174578,43,43
21,0.22842414005990386,0.9883351234669244,42,42
22,0.22842414005990386,0.9881980036354937,42,42
23,0.22842414005990386,0.9880499293948748,41,41
24,0.22842414005990386,0.9878900277380728,40,40
25,0.26934539613493763,0.9877173562202436,40,40
26,0.26934539613493763,0.9875308975894267,39,39
27,0.26934539613493763,0.9873295539495408,39,39
28,0.26934539613493763,0.9871121404533731,38,38
29,0.26934539613493763,0.9868773785040994,37,37
30,0.20194852256559295,0.9866238884348867,37,37
31,0.20194852256559295,0.986350181631139,36,36
32,0.20194852256559295,0.9860546520565856,36,36
33,0.20194852256559295,0.9857355671415794,35,35
34,0.20194852256559295,0.9853910579894171,34,34
35,0.11928075613794854,0.9850191088539456,34,34
36,0.11928075613794854,0.9846175458392522,33,33
37,0.11928075613794854,0.9841840247697419,33,33
38,0.11928075613794854,0.9837160181765136,32,32
39,0.11928075613794854,0.9832108013435997,31,31
40,0.0487669532521355,0.982665437355458,31,31
41,0.0487669532521355,0.9820767610850969,30,30
42,0.0487669532521355,0.981441362060508,30,30
43,0.0487669532521355,0.9807555661457191,29,29
44,0.0487669532521355,0.980015415971875,28,28
45,0.016989296888049184,0.9792166500534794,28,28
46,0.016989296888049184,0.978354680525356,27,27
47,0.016989296888049184,0.9774245694372644,26,26
48,0.016989296888049184,0.9764210035455861,26,26
49,0.016989296888049184,0.9753382675453607,25,25
50,0.0,0.9741702156914479,24,24
51,0.0,0.9729102417650779,24,24
52,0.0,0.9715512473518815,23,23
53,0.0,0.9700856084101208,22,22
54,0.0,0.968505140123756,21,21
55,0.0,0.9668010600547791,21,21
56,0.0,0.9649639496335676,20,20
57,0.0,0.9629837140555981,19,19
58,0.0,0.9608495406885895,18,18
59,0.0,0.9585498561369294,18,18
60,0.0,0.9560722821611779,17,17
61,0.0,0.9534035907107019,16,16
62,0.0,0.9505296583983952,15,15
63,0.0,0.9474354208294019,14,14
64,0.0,0.9441048272923814,14,14
65,0.0,0.9405207964337421,13,13
66,0.0,0.9366651736642544,12,12
67,0.0,0.9325186911953184,11,11
68,0.0,0.9280609317708165,10,10
69,0.0,0.9232702973516839,9,9
70,0.0,0.9181239842258971,9,9
71,0.0,0.9125979662578727,8,8
72,0.0,0.9066669882595738,7,7
73,0.0,0.9003045717613349,6,6
74,0.0,0.8934830357835264,6,6
75,0.0,0.886173535559238,5,5
76,0.0,0.8783461225305823,4,4
77,0.0,0.8699698293323748,4,4
78,0.0,0.8610127838798228,3,3
79,0.0,0.8514423570815634,3,3
80,0.0,0.8412253490920802,2,2
81,0.0,0.8303282193800817,2,2
82,0.0,0.8187173661979888,1,1
83,0.0,0.8063594612622302,1,1
84,0.0,0.793221845557059,1,1
85,0.0,0.7792729921100995,0,0
86,0.0,0.7644830413008356,0,0
87,0.0,0.7488244136887965,0,0
88,0.0,0.7322725044114885,0,0
89,0.0,0.7148064618189763,0,0
90,0.0,0.6964100510901853,0,0
91,0.0,0.6770726010181769,0,0
92,0.0,0.6567900288600336,0,0
93,0.0,0.6355659340297367,0,0
94,0.0,0.6134127463940082,0,0
95,0.0,0.5903529089643148,0,0
96,0.0,0.5664200678616594,0,0
97,0.0,0.5416602346288741,0,0
98,0.0,0.5161328774325766,0,0
99,0.0,0.4899118887070153,0,0
100,0.0,0.4630863677636429,0,0
101,0.0,0.4357611484188149,0,0
102,0.0,0.40805699456860556,0,0
103,0.0,0.38011038186541635,0,0
104,0.0,0.35207278242735585,0,0
105,0.0,0.32410937320608496,0,0
106,0.0,0.29639709870963793,0,0
107,0.0,0.2691220366504032,0,0
108,0.0,0.24247604197460032,0,0
109,0.0,0.2166526813853225,0,0
110,0.0,0.19184251689551338,0,0
111,0.0,0.1682278520594557,0,0
112,0.0,0.14597711583409073,0,0
113,0.0,0.12523912234656576,0,0
114,0.0,0.10613750423377337,0,0
115,0.0,0.08876566506328384,0,0
116,0.0,0.07318262386493461,0,0
117,0.0,0.05941012296973992,0,0
118,0.0,0.04743133125840727,0,0
119,0.0,0.03719139352543703,0,0
120,0.0,0.028599952711948456,0,0
121,0.0,0.02153561150043285,0,0
122,0.0,0.01585211696898023,0,0
123,0.0,0.011385867726909171,0,0
124,0.0,0.007964183577518729,0,0
