year,people,females,births,deaths,cumulative_births,cumulative_deaths,accounting_valid
0,5000,2500,0,0,0,0,true
1,5015,2512,175,160,175,160,true
2,5020,2507,168,163,343,323,true
3,5053,2522,169,136,512,459,true
4,5084,2540,155,124,667,583,true
5,5124,2579,189,149,856,732,true
6,5127,2585,165,162,1021,894,true
7,5134,2584,152,145,1173,1039,true
8,5150,2590,164,148,1337,1187,true
9,5163,2603,159,146,1496,1333,true
10,5162,2618,163,164,1659,1497,true
11,5176,2627,157,143,1816,1640,true
12,5206,2646,185,155,2001,1795,true
13,5213,2660,160,153,2161,1948,true
14,5230,2679,189,172,2350,2120,true
15,5225,2665,164,169,2514,2289,true
16,5235,2673,158,148,2672,2437,true
17,5245,2676,188,178,2860,2615,true
18,5261,2673,178,162,3038,2777,true
19,5286,2679,177,152,3215,2929,true
20,5290,2681,164,160,3379,3089,true
21,5293,2699,177,174,3556,3263,true
22,5302,2705,183,174,3739,3437,true
23,5301,2713,163,164,3902,3601,true
24,5316,2721,157,142,4059,3743,true
25,5338,2724,182,160,4241,3903,true
26,5392,2757,213,159,4454,4062,true
27,5378,2746,197,211,4651,4273,true
28,5401,2738,175,152,4826,4425,true
29,5436,2753,188,153,5014,4578,true
30,5460,2759,183,159,5197,4737,true
31,5496,2781,209,173,5406,4910,true
32,5487,2766,171,180,5577,5090,true
33,5533,2777,194,148,5771,5238,true
34,5547,2792,171,157,5942,5395,true
35,5558,2793,181,170,6123,5565,true
36,5602,2820,207,163,6330,5728,true
37,5612,2823,184,174,6514,5902,true
38,5631,2824,199,180,6713,6082,true
39,5649,2833,184,166,6897,6248,true
40,5669,2842,191,171,7088,6419,true
41,5702,2861,180,147,7268,6566,true
42,5709,2883,167,160,7435,6726,true
43,5709,2875,174,174,7609,6900,true
44,5692,2851,159,176,7768,7076,true
45,5716,2857,185,161,7953,7237,true
46,5759,2880,189,146,8142,7383,true
47,5796,2902,197,160,8339,7543,true
48,5838,2917,196,154,8535,7697,true
49,5869,2931,199,168,8734,7865,true
50,5874,2928,194,189,8928,8054,true
51,5894,2940,204,184,9132,8238,true
52,5906,2949,187,175,9319,8413,true
53,5920,2962,182,168,9501,8581,true
54,5977,3008,203,146,9704,8727,true
55,5972,2985,190,195,9894,8922,true
56,5994,3002,215,193,10109,9115,true
57,6016,3015,199,177,10308,9292,true
58,6022,3011,194,188,10502,9480,true
59,6049,3034,204,177,10706,9657,true
60,6048,3049,193,194,10899,9851,true
61,6100,3088,216,164,11115,10015,true
62,6118,3098,200,182,11315,10197,true
63,6135,3095,206,189,11521,10386,true
64,6186,3133,233,182,11754,10568,true
65,6205,3145,224,205,11978,10773,true
66,6190,3138,174,189,12152,10962,true
67,6231,3153,219,178,12371,11140,true
68,6252,3164,189,168,12560,11308,true
69,6239,3163,183,196,12743,11504,true
70,6292,3199,220,167,12963,11671,true
71,6310,3200,220,202,13183,11873,true
72,6346,3220,216,180,13399,12053,true
73,6390,3230,228,184,13627,12237,true
74,6417,3244,201,174,13828,12411,true
75,6419,3236,208,206,14036,12617,true
76,6408,3215,196,207,14232,12824,true
77,6416,3202,191,183,14423,13007,true
78,6420,3213,210,206,14633,13213,true
79,6388,3197,195,227,14828,13440,true
80,6406,3224,213,195,15041,13635,true
81,6433,3234,222,195,15263,13830,true
82,6462,3244,214,185,15477,14015,true
83,6483,3249,223,202,15700,14217,true
84,6527,3268,232,188,15932,14405,true
85,6582,3305,250,195,16182,14600,true
86,6583,3321,225,224,16407,14824,true
87,6653,3350,244,174,16651,14998,true
88,6663,3353,225,215,16876,15213,true
89,6701,3350,236,198,17112,15411,true
90,6732,3375,233,202,17345,15613,true
91,6724,3356,208,216,17553,15829,true
92,6755,3370,227,196,17780,16025,true
93,6791,3375,219,183,17999,16208,true
94,6830,3385,248,209,18247,16417,true
95,6839,3386,239,230,18486,16647,true
96,6872,3390,232,199,18718,16846,true
97,6884,3388,215,203,18933,17049,true
98,6880,3390,197,201,19130,17250,true
99,6898,3411,231,213,19361,17463,true
100,6887,3394,214,225,19575,17688,true
101,6917,3421,226,196,19801,17884,true
102,6947,3433,225,195,20026,18079,true
103,6955,3439,210,202,20236,18281,true
104,6968,3430,213,200,20449,18481,true
105,6991,3441,212,189,20661,18670,true
106,6983,3428,202,210,20863,18880,true
107,6961,3421,201,223,21064,19103,true
108,6962,3408,209,208,21273,19311,true
109,6980,3429,221,203,21494,19514,true
110,6995,3424,225,210,21719,19724,true
111,7029,3455,233,199,21952,19923,true
112,7067,3466,242,204,22194,20127,true
113,7039,3432,210,238,22404,20365,true
114,7056,3442,232,215,22636,20580,true
