seq339,name,year,ethref,latitude,longitude,wldsec,subpop,fishing,cmat,crr,density,density_per_km2,nomov,dismov,distance_km_year,km_per_move,tlpop
6,Jarwa,1906,Temple 1903 Radcliffe-Brown 1948,12.19,92.37,asia,n,30.0,26.59083333,2301.479,44.65,0.4465,9.0,59.0,94.95129600000001,10.550144000000001,255.0
8,Andamanese_North,1870,,13.32,92.89,asia,n,5.0,26.35916667,1752.742,33.38,0.33380000000000004,12.0,76.0,122.31014400000001,10.192512,464.0
31,Akuriyo,1968,,3.0,-55.0,SoAmer,n,5.0,26.645,2039.065,7.04,0.0704,49.0,285.0,458.66304,9.360470204081633,66.0
34,Nukak (Macu),1990,Poltis 1992,2.56,-71.81,SoAmer,n,13.0,23.1025,2470.542,9.34,0.0934,55.0,225.0,362.10240000000005,6.583680000000001,282.0
45,Tehuelche,1870,Boschin & Macuzzi 1979 Cooper 1946,-46.0,-68.7,SoAmer,n,5.0,11.85666667,182.159,1.89,0.0189,17.0,360.0,579.36384,34.08022588235294,9000.0
48,Ona-(Selknam),1880,Chapman 1982 Gusinde 1931,-53.9,-68.62,SoAmer,n,20.0,5.2775,476.323,7.27,0.0727,24.0,320.0,514.99008,21.45792,3497.0
57,Hukwe,1950,Clark 1951,-16.93,24.32,Africa,n,5.0,22.31916667,763.684,2.9,0.028999999999999998,8.0,125.0,201.168,25.146,124.0
59,Hadza_(Kindiga),1910,"O'Connell pers.comm 1977, O'Connel et al. 1991",-3.82,35.32,Africa,n,0.0,19.605,780.649,24.0,0.24,7.0,80.0,128.74752,18.39250285714286,600.0
62,!Kung-Nyae_Nyae_&_Dobe,1950,Howell 1979 Yellen 1977 Brooks et al. 1984 Gold & Yellen 1987 Lee 1979,-20.0,21.18,Africa,n,0.0,20.6,405.602,6.6,0.066,5.5,75.0,120.70080000000002,21.945600000000002,726.0
64,Gwi,1962,"Hitchcock pers, comm. 1990 Weissner & Hitchcock pers. Comm. 1991",-22.46,23.39,Africa,n,0.0,19.3475,333.841,2.93,0.029300000000000003,11.5,270.0,434.52288000000004,37.78459826086957,528.0
66,!Ko,1968,Hitchcock pers. Comm. 1990 Eibl-Eibesfeldt 1972,-23.86,22.2,Africa,n,0.0,18.54166667,281.502,1.03,0.0103,12.0,310.0,498.89664000000005,41.574720000000006,122.0
67,Auni-Khomani,1920,,-27.37,19.82,Africa,n,0.0,18.265,123.77,0.64,0.0064,13.0,352.0,566.489088,43.5760836923077,364.0
76,Murngin_(Yolngu)no-Terr,1930,,-12.93,135.84,Aust.,n,10.0,27.085,1245.7,11.76,0.1176,15.0,160.0,257.49504,17.166336,588.0
77,Jeidji-Forest-R-W-Aust,1920,,-15.55,128.19,Aust.,n,25.0,28.92083333,638.82,17.0,0.17,14.0,218.0,350.836992,25.059785142857145,442.0
78,Wikmunkun-Queensland,1920,,-13.47,142.0,Aust.,n,20.0,25.88583333,1750.102,19.31,0.1931,14.0,238.0,383.02387200000004,27.358848000000002,1602.0
79,Kakadu-No-Territory,1920,,-13.13,132.95,Aust.,n,25.0,26.60916667,1315.8,8.8,0.08800000000000001,12.0,150.0,241.40160000000003,20.1168,528.0
82,Yir-Yoront-Queensland,1937,Peterson & Long 1986,-15.0,142.17,Aust.,n,10.0,26.82833333,1145.51,8.0,0.08,13.0,145.0,233.35488,17.950375384615384,104.0
83,Tiwi-No-Territory,1920,Hart 1970 Hart & Pilling 1960 Peterson & Long 1986,-11.59,130.87,Aust.,n,35.0,25.92,1681.39,37.5,0.375,10.0,75.0,120.70080000000002,12.07008,2662.0
88,Worora-West-Australia,1930,,-15.32,124.72,Aust.,n,10.0,26.315,1280.671,11.0,0.11,13.0,150.0,241.40160000000003,18.56935384615385,1114.0
94,Kariera-West-Australia,1910,,-20.88,118.27,Aust.,n,35.0,25.2875,303.862,9.5,0.095,8.0,130.0,209.21472,26.15184,1111.0
96,Djaru-West-Australia,1934,,-19.16,130.0,Aust.,n,5.0,25.41083333,413.866,3.98,0.0398,13.0,350.0,563.2704,43.32849230769231,1345.0
97,Walbiri-No-Territory,1965,Meggitt 1962,-20.0,130.57,Aust.,n,0.0,25.23083333,334.5,1.16,0.0116,14.0,380.0,611.5507200000001,43.68219428571429,1598.0
99,Mardudjara-West-Austral,1960,Peterson & Long 1986,-22.79,125.06,Aust.,n,0.0,24.63083333,298.01,0.75,0.0075,15.0,416.0,669.487104,44.632473600000004,169.0
100,Ildawongga-West-Austral,1968,Peterson & Long 1986,-22.93,127.18,Aust.,n,0.0,24.0375,317.08,0.45,0.0045000000000000005,15.0,380.0,611.5507200000001,40.770048,354.0
101,Pintubi-No-Territory,1936,Myers 1986 Gargett & Hayden 1991 (settled) Hayden pers. Comm. 1992,-22.86,129.44,Aust.,n,0.0,23.70666667,314.47,1.5,0.015,15.0,325.0,523.0368000000001,34.86912,343.0
103,Jinibarra-Queensland,1840,,-27.25,152.87,Aust.,n,15.0,20.54666667,1018.202,16.0,0.16,8.0,32.0,51.499008,6.437376,219.0
104,Karuwali-Queensland,1900,,-24.41,141.64,Aust.,n,0.0,22.9025,248.911,2.0,0.02,13.0,275.0,442.56960000000004,34.043815384615385,660.0
105,Alyawara-No-Territory,1965,O'Connell 1987 Denham 1975,-22.27,135.17,Aust.,n,0.0,22.1875,300.308,1.21,0.0121,14.0,325.0,523.0368000000001,37.359771428571435,560.0
106,Ngatatjara-West-Austral,1968,Gould 1971 Gould 1977 (various sites),-25.32,127.27,Aust.,n,0.0,22.46166667,244.47,0.4,0.004,14.0,373.0,600.2853120000001,42.87752228571429,312.0
108,Pitjandjara-Nt&so-Aust,1968,Tindale 1972,-26.0,130.0,Aust.,n,0.0,22.0125,245.37,0.6,0.006,15.0,289.0,465.10041600000005,31.006694400000004,358.0
