record_id,site,site_location,sample,latitude,longitude,coordinate_note,coordinate_source,age_ka,minus_ka,plus_ka,uncertainty_convention,method,dated_material_or_context,relationship_to_human_presence,hominin_attribution,dependency_group,citation,doi_or_url,locator,verified_fields,notes
R01,Al Wusta,"Al Wusta (Nefud, Saudi Arabia)",AW-1 intermediate phalanx,27.4,39.4,27.4N 39.4E stated to 0.1 deg in OSL Methods (site location used for cosmic dose rate); not a site-survey coordinate,as cited for the dated record (10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf),87.6,2.5,2.5,2 sigma (stated: '2σ confidence level'),U-series (direct on bone),AW-1 human phalanx; found on surface exposure of Unit 3b,hominin fossil direct; stated to be a minimum age,H. sapiens,ALWUSTA_P2,"Groucutt HS et al. 2018. Homo sapiens in Arabia by 85,000 years ago. Nat Ecol Evol 2:800-809",10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf,Main text 'Chronology' para; SI 'chronostratigraphic evidence' summary,lat;lon;age;uncertainty,Minimum age. SI gives combined 2σ interval 85.1-96.5 ka for AW-1 (86.5-92.9 ka at 1σ). Bayesian model: Units 2-3 and fossils deposited between 92.2±2.6 and 90.4±3.9 ka (1σ). Published PMC text matches accepted manuscript.
R02,Al Wusta,"Al Wusta (Nefud, Saudi Arabia)",WU1601 hippopotamus tooth,27.4,39.4,27.4N 39.4E stated to 0.1 deg in OSL Methods (site location used for cosmic dose rate); not a site-survey coordinate,as cited for the dated record (10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf),103,9,10,1 sigma (stated),US-ESR (combined U-series/ESR),"Hippopotamus tooth from Unit 3a, ~1 m from AW-1",associated layer (faunal tooth in fossil-bearing unit),H. sapiens (associated),ALWUSTA_P2,"Groucutt HS et al. 2018. Homo sapiens in Arabia by 85,000 years ago. Nat Ecol Evol 2:800-809",10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf,Main text 'Chronology'; SI ESR section,lat;lon;age;uncertainty,"U-series on same tooth: 83.5±8.1 ka enamel, 65.0±2.1 ka dentine (2σ, minimum ages)."
R03,Al Wusta,"Al Wusta (Nefud, Saudi Arabia)",PD40,27.4,39.4,27.4N 39.4E stated to 0.1 deg in OSL Methods (site location used for cosmic dose rate); not a site-survey coordinate,as cited for the dated record (10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf),98.6,7.0,7.0,not explicitly stated for individual OSL ages (1 sigma implied by SI weighted-mean text),"OSL (single-grain quartz, CAM)",Sand in Unit 3a (same unit as WU1601),associated layer,H. sapiens (associated),ALWUSTA_P2,"Groucutt HS et al. 2018. Homo sapiens in Arabia by 85,000 years ago. Nat Ecol Evol 2:800-809",10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf,Main text 'Chronology'; SI Table 17,lat;lon;age;uncertainty,
R04,Al Wusta,"Al Wusta (Nefud, Saudi Arabia)","PD15, PD17, PD41 (Unit 1 weighted mean)",27.4,39.4,27.4N 39.4E stated to 0.1 deg in OSL Methods (site location used for cosmic dose rate); not a site-survey coordinate,as cited for the dated record (10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf),89.3,3.6,3.6,1 sigma implied (SI gives +3.6 and uses +7.2 as 2σ),"OSL (single-grain quartz, CAM)","Aeolian sand Unit 1, stratigraphically below Unit 3",bracketing layer below (maximum age for fossils),H. sapiens (associated),ALWUSTA_P1,"Groucutt HS et al. 2018. Homo sapiens in Arabia by 85,000 years ago. Nat Ecol Evol 2:800-809",10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf,SI chronostratigraphic summary; SI Table 17,lat;lon;age;uncertainty,"Individual ages 85.3±5.6 (PD17), 92.2±6.8 (PD41), 92.0±6.3 (PD15). Bayesian end of Phase 1: 93.1±2.6 ka (1σ)."
R05,Alathar,"Alathar (western Nefud, Saudi Arabia)",PD61,27.52,39.398,From research/hydrology/observations.json; source table states coordinates are approximate in some cases,doi:10.1038/s41586-021-03863-y Supplementary Table 1,121,11,11,not stated on fetched page,OSL,"Sediment of unit 2, directly below footprint-bearing unit",bracketing layer below (footprints),H. sapiens (argued by authors from footprint size and absence of Neanderthals; not skeletal),ALATHAR,Stewart M et al. 2020. Human footprints provide snapshot of last interglacial ecology in the Arabian interior. Sci Adv 6:eaba8940,10.1126/sciadv.aba8940 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC7500939/,"Results, 'Geology and geochronology'",age;uncertainty,Footprints bracketed between PD61 and PD62.
R06,Alathar,"Alathar (western Nefud, Saudi Arabia)",PD62,27.52,39.398,From research/hydrology/observations.json; source table states coordinates are approximate in some cases,doi:10.1038/s41586-021-03863-y Supplementary Table 1,112,10,10,not stated on fetched page,OSL,"Sediment of unit 5, directly above footprint-bearing unit",bracketing layer above (footprints),H. sapiens (argued; footprints),ALATHAR,Stewart M et al. 2020. Human footprints provide snapshot of last interglacial ecology in the Arabian interior. Sci Adv 6:eaba8940,10.1126/sciadv.aba8940 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC7500939/,"Results, 'Geology and geochronology'",age;uncertainty,Abbas et al. 2023 summarise Alathar footprints as ~115 ka.
R07,Jebel Qattar 1,"Jebel Qattar 1 (JQ-1), Jubbah, Saudi Arabia",upper OSL sample (Unit B),28.014778,41.059983,Converted from stated 28°00′53.20″N 41°03′35.94″E (0.01 arcsec); not called approximate,as cited for the dated record (10.1371/journal.pone.0049840 ; PMC3501467),75,5,5,not stated in main text,OSL (quartz),Upper palaeosol Unit B (MIS 5a),assemblage layer (MP assemblage 'associated with the upper palaeosol'),lithics only,JQ1_UNITB,"Petraglia MD et al. 2012. Hominin dispersal into the Nefud Desert and Middle Palaeolithic settlement along the Jubbah Palaeolake, northern Arabia. PLoS ONE 7:e49840",10.1371/journal.pone.0049840 ; PMC3501467,"Results, JQ-1 section and Fig. 4 caption",lat;lon;age;uncertainty,"Ages originally from the paper's ref [21]; other JQ-1 ages 95±7 ka (Unit D) and 211±16 ka (lower, with 28 artefacts)."
R08,Jebel Katefeh 1,"Jebel Katefeh 1 (JKF-1), Jubbah, Saudi Arabia",JKF1-OSL4 (main FMM population),27.921844,40.805039,Converted from stated 27°55′18.64″N 40°48′18.14″E; not called approximate,as cited for the dated record (10.1371/journal.pone.0049840 ; PMC3501467),87,6,6,not stated in main text,"OSL (single-grain quartz, finite mixture model)",Artefact-bearing Stratum/Unit H,assemblage layer,lithics only,JKF1_UNITH,"Petraglia MD et al. 2012. Hominin dispersal into the Nefud Desert and Middle Palaeolithic settlement along the Jubbah Palaeolake, northern Arabia. PLoS ONE 7:e49840",10.1371/journal.pone.0049840 ; PMC3501467,"Results, JKF-1 section",lat;lon;age;uncertainty,Younger grain population 49±5 ka in same sample; authors cannot resolve which reflects occupation (prefer MIS 5a-b). Sample-code inconsistency in text: lowermost sample named JKF-OSL-4 then JKF1-OSL1.
R09,Jebel Katefeh 1,"Jebel Katefeh 1 (JKF-1), Jubbah, Saudi Arabia",JKF1-OSL3 (main FMM population),27.921844,40.805039,Converted from stated 27°55′18.64″N 40°48′18.14″E; not called approximate,as cited for the dated record (10.1371/journal.pone.0049840 ; PMC3501467),86,11,11,not stated in main text,"OSL (single-grain quartz, finite mixture model)",Artefact-bearing Stratum/Unit H,assemblage layer,lithics only,JKF1_UNITH,"Petraglia MD et al. 2012. Hominin dispersal into the Nefud Desert and Middle Palaeolithic settlement along the Jubbah Palaeolake, northern Arabia. PLoS ONE 7:e49840",10.1371/journal.pone.0049840 ; PMC3501467,"Results, JKF-1 section",lat;lon;age;uncertainty,"Younger population 53±6 ka. Lowermost sample gave 64±6 ka (74% of grains), stratigraphic inversion not discussed on page."
R10,Aybut Al Auwal,"Aybut Al Auwal (AYB1), Dhofar, Oman",AYB1-OSL1,17.50,53.35,"ESTIMATE read from graticule of Fig. 3 map (Rose et al. 2011 PLoS ONE 6:e28239), Wadi Aybut beside Mudayy village, west-central Nejd; ~±0.1 deg. Paper gives no numeric coordinates",paper (map figure): https://zenodo.org/records/896507,106,9,9,1 sigma (Table S1 caption: 'mean ± total (1σ) uncertainty'),OSL (quartz),"Unit 3 fluvial sediment, ~52 cm depth; Nubian Type 1 core just above sample",assemblage layer,lithics only (Nubian Complex),AYB1_UNIT3,"Rose JI et al. 2011. The Nubian Complex of Dhofar, Oman: an African Middle Stone Age industry in southern Arabia. PLoS ONE 6:e28239",10.1371/journal.pone.0028239 ; PMC3227647,Results; Table S1 caption,age;uncertainty,Weighted mean of OSL1+OSL2: 106.6±6.4 ka.
