camp,resource,day,daily_gain_kcal_per_capita,cumulative_gain_kcal_per_capita,complete_camp
1,tot,1,1251.7565462556,1251.7565462556,False
1,tot,2,1298.3849647104003,2550.141510966,False
1,tot,3,2309.73170196882,4859.87321293482,False
1,tot,4,2218.79018544083,7078.66339837565,False
1,tot,5,2225.36289619093,9304.02629456658,False
1,tot_meat,1,0.0,0.0,False
1,tot_meat,2,0.0,0.0,False
1,tot_meat,3,1.49176470588235,1.49176470588235,False
1,tot_meat,4,0.0,1.49176470588235,False
1,tot_meat,5,0.0,1.49176470588235,False
1,tot_rat,1,1441.84283196989,1441.84283196989,False
1,tot_rat,2,1298.3849647103998,2740.22779668029,False
1,tot_rat,3,3098.2377760428803,5838.46557272317,False
1,tot_rat,4,2218.79018544084,8057.25575816401,False
1,tot_rat,5,3239.1564200004905,11296.4121781645,False
1,tot_rat_only,1,190.086285714286,190.086285714286,False
1,tot_rat_only,2,0.0,190.086285714286,False
1,tot_rat_only,3,788.506074074074,978.59235978836,False
1,tot_rat_only,4,0.0,978.59235978836,False
1,tot_rat_only,5,1013.7935238095199,1992.38588359788,False
1,tot_tuber,1,1241.9334445056,1241.9334445056,False
1,tot_tuber,2,1298.3849647104,2540.318409216,False
1,tot_tuber,3,2308.2399372629297,4848.55834647893,False
1,tot_tuber,4,2218.79018544084,7067.34853191977,False
1,tot_tuber,5,2088.7062475776,9156.05477949737,False
2,tot,1,501.791290709333,501.791290709333,True
2,tot,2,624.1888407464969,1125.98013145583,True
2,tot,3,263.19249549401,1389.17262694984,True
2,tot,4,401.19570912202016,1790.36833607186,True
2,tot,5,5718.212818052931,7508.58115412479,True
2,tot,6,4647.01991863841,12155.6010727632,True
2,tot,7,1126.5041132041006,13282.1051859673,True
2,tot,8,1168.8784481099992,14450.9836340773,True
2,tot,9,388.0612969410995,14839.0449310184,True
2,tot_meat,1,0.0,0.0,True
2,tot_meat,2,0.0,0.0,True
2,tot_meat,3,1.00334928229665,1.00334928229665,True
2,tot_meat,4,0.0,1.00334928229665,True
2,tot_meat,5,138.59332033613435,139.596669618431,True
2,tot_meat,6,12.48423529411798,152.080904912549,True
2,tot_meat,7,306.300222254989,458.381127167538,True
2,tot_meat,8,64.67688282352901,523.058009991067,True
2,tot_meat,9,388.0612969411769,911.119306932244,True
2,tot_rat,1,501.791290709333,501.791290709333,True
2,tot_rat,2,624.1888407464969,1125.98013145583,True
2,tot_rat,3,263.19249549401,1389.17262694984,True
2,tot_rat,4,401.19570912202016,1790.36833607186,True
2,tot_rat,5,5718.212818052931,7508.58115412479,True
2,tot_rat,6,4647.01991863841,12155.6010727632,True
2,tot_rat,7,1126.5041132041006,13282.1051859673,True
2,tot_rat,8,1168.8784481099992,14450.9836340773,True
2,tot_rat,9,388.0612969410995,14839.0449310184,True
2,tot_rat_only,1,0.0,0.0,True
2,tot_rat_only,2,0.0,0.0,True
2,tot_rat_only,3,0.0,0.0,True
2,tot_rat_only,4,0.0,0.0,True
2,tot_rat_only,5,0.0,0.0,True
2,tot_rat_only,6,0.0,0.0,True
2,tot_rat_only,7,0.0,0.0,True
2,tot_rat_only,8,0.0,0.0,True
2,tot_rat_only,9,0.0,0.0,True
2,tot_tuber,1,501.791290709333,501.791290709333,True
2,tot_tuber,2,351.9637768665,853.755067575833,True
2,tot_tuber,3,261.4596725274971,1115.21474010333,True
2,tot_tuber,4,400.4662354378099,1515.68097554114,True
