resource,camp,model,log_loss,brier
tot,2,constant,0.34889802844336587,0.09877870345486578
tot,2,camp_age,0.3422529711385802,0.09759348057357033
tot,2,camp_age_food,0.33326741682492933,0.09594933774773458
tot,3,constant,0.8264928615577944,0.2745971634365486
tot,3,camp_age,0.9121017444924706,0.28865446382939297
tot,3,camp_age_food,0.9235551719673335,0.2902268107535118
tot,5,constant,0.6450241218333076,0.20821854912764
tot,5,camp_age,0.6755903761704773,0.21375305426547853
tot,5,camp_age_food,0.7741699831156037,0.22632515340290954
tot,6,constant,0.2578512856451374,0.06310013717421126
tot,6,camp_age,0.24623378630791162,0.06064305563501609
tot,6,camp_age_food,0.41973528036795804,0.11220961503087498
tot,9,constant,0.536850831647439,0.1685207100591716
tot,9,camp_age,0.5463897004821073,0.17047746984044512
tot,9,camp_age_food,0.5313161522698421,0.16794204111988228
tot,10,constant,0.6450241218333076,0.20821854912764
tot,10,camp_age,0.6755903761704773,0.21375305426547853
tot,10,camp_age_food,0.6129720405989993,0.2030123756453598
tot,11,constant,0.23833335462266725,0.05147927808825591
tot,11,camp_age,0.2905711802332477,0.06998544674090233
tot,11,camp_age_food,0.27329495062925624,0.06349579170052887
tot_rat,2,constant,0.34889802844336587,0.09877870345486578
tot_rat,2,camp_age,0.3422529711385802,0.09759348057357033
tot_rat,2,camp_age_food,0.310003761918939,0.09176970241790922
tot_rat,3,constant,0.8264928615577944,0.2745971634365486
tot_rat,3,camp_age,0.9121017444924706,0.28865446382939297
tot_rat,3,camp_age_food,0.905544475566968,0.2876626837954113
tot_rat,5,constant,0.6450241218333076,0.20821854912764
tot_rat,5,camp_age,0.6755903761704773,0.21375305426547853
tot_rat,5,camp_age_food,0.8874483889458824,0.2363716492810129
tot_rat,6,constant,0.2578512856451374,0.06310013717421126
tot_rat,6,camp_age,0.24623378630791162,0.06064305563501609
tot_rat,6,camp_age_food,0.2660546177136268,0.06440075150550831
tot_rat,9,constant,0.536850831647439,0.1685207100591716
tot_rat,9,camp_age,0.5463897004821073,0.17047746984044512
tot_rat,9,camp_age_food,0.49728783711723956,0.16114560896646518
tot_rat,10,constant,0.6450241218333076,0.20821854912764
tot_rat,10,camp_age,0.6755903761704773,0.21375305426547853
tot_rat,10,camp_age_food,0.633236555241949,0.2065721939558185
tot_rat,11,constant,0.23833335462266725,0.05147927808825591
tot_rat,11,camp_age,0.2905711802332477,0.06998544674090233
tot_rat,11,camp_age_food,0.4021704110878878,0.12293790363635883
