resource,camp,model,rmse,mae
tot,2,exponential,2662.8895315292384,1950.7825586548252
tot,2,holling_iii,3002.0069244977303,2383.6739611345247
tot,2,local_mean,2614.944023479238,1920.6820768616672
tot,2,michaelis_menten,2658.146858888188,1938.880129421699
tot,2,other_camp_mean,2152.4195062333015,1846.1667986401583
tot,2,persistence,2659.657640735075,1811.6534189137583
tot,5,exponential,480.48724663689404,480.48724663689404
tot,5,holling_iii,1330.4604495864276,1330.4604495864276
tot,5,local_mean,480.63358401900655,480.63358401900655
tot,5,michaelis_menten,477.7327521757286,477.7327521757286
tot,5,other_camp_mean,2019.478408813502,2019.478408813502
tot,5,persistence,1263.1948195394748,1263.1948195394748
tot,6,exponential,1099.6950926471604,840.3329297805262
tot,6,holling_iii,1263.5608701912706,931.6898211216411
tot,6,local_mean,998.5146823314863,849.6336416777077
tot,6,michaelis_menten,1078.5330638900566,813.5267452994066
tot,6,other_camp_mean,1185.7430137625277,1092.3328533888584
tot,6,persistence,1319.8180203669892,1108.7681322499513
tot,9,exponential,321.01864774699817,315.5663198749776
tot,9,holling_iii,498.5233123520547,379.9255707417226
tot,9,local_mean,279.628453373317,240.9271590249313
tot,9,michaelis_menten,319.6633842121712,313.9373671914343
tot,9,other_camp_mean,1261.313538090323,1240.4334632680789
tot,9,persistence,339.7670526166904,302.6085349634451
tot,10,exponential,97.79663367683588,97.79663367683588
tot,10,holling_iii,483.8759520749509,483.8759520749509
tot,10,local_mean,731.0603338117837,731.0603338117837
tot,10,michaelis_menten,126.80398518192305,126.80398518192305
tot,10,other_camp_mean,1146.726090553142,1146.726090553142
tot,10,persistence,525.2759992047108,525.2759992047108
tot,11,exponential,2691.5744884598002,1458.6998521672122
tot,11,holling_iii,3001.7943022202353,1792.429534275642
tot,11,local_mean,2575.3372362261352,1366.3113830261275
tot,11,michaelis_menten,2680.896118323896,1445.1475343736947
tot,11,other_camp_mean,2661.797626475045,1432.181588217194
tot,11,persistence,3577.5782821642224,2278.0508567062734
tot_rat,2,exponential,2662.8895315292384,1950.7825586548252
tot_rat,2,holling_iii,3002.0069244977303,2383.6739611345247
tot_rat,2,local_mean,2614.944023479238,1920.6820768616672
tot_rat,2,michaelis_menten,2658.146858888188,1938.880129421699
tot_rat,2,other_camp_mean,4860.84285986996,4371.822925442749
tot_rat,2,persistence,2659.657640735075,1811.6534189137583
tot_rat,5,exponential,1724.4835980225216,1724.4835980225216
tot_rat,5,holling_iii,4535.7597589390425,4535.7597589390425
tot_rat,5,local_mean,1666.5291099981005,1666.5291099981005
tot_rat,5,michaelis_menten,1715.8880801602863,1715.8880801602863
tot_rat,5,other_camp_mean,1913.0458246196695,1913.0458246196695
tot_rat,5,persistence,4741.582206101601,4741.582206101601
tot_rat,6,exponential,5723.4932429548635,3709.045960392178
tot_rat,6,holling_iii,6514.8617714127495,5073.382839663677
tot_rat,6,local_mean,5706.337879628903,3686.3429142009622
tot_rat,6,michaelis_menten,5731.165417043044,3699.544931946104
tot_rat,6,other_camp_mean,5360.441901741294,4257.68577634041
tot_rat,6,persistence,8051.159970530925,5766.609956591551
tot_rat,9,exponential,4063.3888942932876,3896.7597751340472
tot_rat,9,holling_iii,3638.6723772812306,2816.697624032593
tot_rat,9,local_mean,6399.857747159227,5683.867684327151
tot_rat,9,michaelis_menten,4056.514423691875,3663.06425075301
tot_rat,9,other_camp_mean,1864.6830724183399,1863.240553460506
tot_rat,9,persistence,4281.369271730479,4249.324386941462
tot_rat,10,exponential,4098.575314022608,4098.575314022608
tot_rat,10,holling_iii,6216.960673927733,6216.960673927733
tot_rat,10,local_mean,896.0710580016666,896.0710580016666
tot_rat,10,michaelis_menten,3881.090068400892,3881.090068400892
tot_rat,10,other_camp_mean,1696.4746539460239,1696.4746539460239
tot_rat,10,persistence,2251.4746450528983,2251.4746450528983
tot_rat,11,exponential,8327.202210083795,5417.384192257939
tot_rat,11,holling_iii,9540.425477527515,6499.106619642203
tot_rat,11,local_mean,8069.3835477539,5538.423912141294
tot_rat,11,michaelis_menten,8271.67439845667,5370.5789939125725
tot_rat,11,other_camp_mean,7693.280521644864,4961.752873931116
tot_rat,11,persistence,10194.000414126725,6739.41713010828
