PlotNo,Year,edible_g,records,plot_area_m2,harvest_g_m2
Plot01,2015,102.83000000000001,3,100,1.0283000000000002
Plot01,2016,63.51,2,100,0.6351
Plot01,2017,18.14,1,100,0.1814
Plot02,2015,494.40999999999997,4,100,4.9441
Plot02,2016,417.31,3,100,4.1731
Plot02,2017,104.33,3,100,1.0433
Plot03,2015,20.05,2,100,0.2005
Plot03,2016,63.5,3,100,0.635
Plot03,2017,36.29,1,100,0.3629
Plot04,2015,9.08,2,100,0.0908
Plot04,2016,31.75,2,100,0.3175
Plot04,2017,13.61,1,100,0.1361
Plot05,2015,183.70999999999998,4,100,1.8370999999999997
Plot06,2015,737.0899999999999,2,100,7.370899999999999
Plot06,2016,195.04000000000002,2,100,1.9504000000000001
Plot06,2017,58.97,2,100,0.5897
Plot07,2015,610.0899999999999,2,100,6.100899999999999
Plot07,2016,948.47,8,100,9.4847
Plot07,2017,521.63,4,100,5.2163
Plot08,2015,127.0,6,100,1.27
Plot08,2016,875.4300000000001,7,100,8.7543
Plot08,2017,190.51,3,100,1.9051
Plot09,2015,176.89999999999998,4,100,1.7689999999999997
Plot09,2016,419.12,4,100,4.1912
Plot09,2017,199.57999999999998,4,100,1.9957999999999998
Plot10,2015,1907.3600000000001,2,100,19.073600000000003
Plot10,2016,807.39,2,100,8.0739
Plot10,2017,45.36,2,100,0.4536
Plot11,2015,249.47,3,100,2.4947
Plot11,2016,249.48000000000002,3,100,2.4948
Plot11,2017,90.72,2,100,0.9072
Plot12,2015,328.85,2,100,3.2885000000000004
Plot12,2016,453.59000000000003,5,100,4.535900000000001
Plot12,2017,185.97,5,100,1.8597
Plot14,2015,437.72,7,100,4.3772
Plot14,2016,612.36,5,100,6.1236
Plot14,2017,199.57999999999998,4,100,1.9957999999999998
Plot15,2015,421.84,6,100,4.2184
Plot15,2016,72.58,2,100,0.7258
Plot15,2017,145.15,2,100,1.4515
Plot16,2015,834.62,4,100,8.3462
Plot16,2016,430.92,2,100,4.309200000000001
Plot16,2017,399.15999999999997,4,100,3.9915999999999996
Plot17,2015,324.32000000000005,4,100,3.2432000000000003
Plot17,2016,0.0,1,100,0.0
Plot17,2017,571.52,2,100,5.715199999999999
Plot18,2015,396.89,4,100,3.9688999999999997
Plot18,2016,571.53,2,100,5.7153
Plot18,2017,240.4,3,100,2.404
Plot19,2015,9.08,2,100,0.0908
Plot19,2016,31.75,3,100,0.3175
Plot19,2017,13.61,1,100,0.1361
Plot20,2015,342.46999999999997,6,100,3.4246999999999996
Plot20,2016,90.72999999999999,4,100,0.9072999999999999
Plot20,2017,331.12,2,100,3.3112
