Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
84.0,Plot18,2015-08-27,2015,1,12:36:00,13:26:00,50,Ferraria crispa,?,Corm,,,0.28,127.01,93.0,3,2,
1.0,Plot01,2015-09-03,2015,2,13:59:00,16:46:00,167,Babiana patula,bobbejaantjie,Corm,0.02,2.0,0.0517,23.45,2.0,,3,
2.0,Plot01,2015-09-03,2015,2,13:59:00,16:46:00,167,Cyphia digitata,baroe,Tuber,,,0.075,34.02,1.0,,4,
6.0,Plot01,2016-09-01,2016,2,13:40:00,14:42:00,62,Babiana patula,bobbejaantjie,Corm,,,0.06,27.22,4.0,,5,
14.0,Plot11,2015-11-06,2015,2,10:20:00,11:00:00,40,Conicosia pugioniformis,varkwortel,Root,,,0.24,108.86,22.0,,6,
16.0,Plot11,2015-11-06,2015,2,10:20:00,11:00:00,40,Pelargonium triste,kaneelbol,Tuber,,,0.05,22.68,3.0,,7,
23.0,Plot12,2015-11-06,2015,2,12:18:00,12:32:00,14,Cassine perugua,,berries,0.195,147.0,0.11,49.9,147.0,,8,author part exclusion
24.0,Plot12,2015-11-06,2015,2,12:18:00,12:32:00,14,Osteospermum monolifera,bietou,berries,0.02,1.0,0.01,4.54,1.0,,9,author part exclusion
26.0,Plot12,2015-11-06,2015,2,12:18:00,12:32:00,14,Pelargonium lobatum,platblaar patat,Tuber,,,0.46,208.65,5.0,,10,
27.0,Plot12,2015-11-06,2015,2,12:18:00,12:32:00,14,Searsia glauca,,berries,0.05,138.0,0.03,13.61,138.0,,11,author part exclusion
43.0,Plot14,2015-08-25,2015,2,11:07:00,11:59:00,52,Babiana patula,bobbejaantjie,Corm,0.05,2.0,0.02,9.07,2.0,,12,
45.0,Plot14,2015-08-25,2015,2,11:07:00,11:59:00,52,Pelargonium lobatum,platblaar patat,Tuber,,,0.205,92.99,18.0,,13,
48.0,Plot14,2015-08-25,2015,2,11:07:00,11:59:00,52,Wachendorfia paniculata,?,Bulb,,,0.02,9.07,11.0,,14,
57.0,Plot15,2015-08-25,2015,2,13:55:00,14:31:00,36,Babiana ambigua,bobbejaantjie,Corm,,,0.015,6.8,2.0,,15,
59.0,Plot15,2015-08-25,2015,2,13:55:00,14:31:00,36,Pelargonium lobatum,platblaar patat,Tuber,,,0.18,81.65,6.0,,16,
61.0,Plot15,2015-08-25,2015,2,13:55:00,14:31:00,36,Pelargonium triste,kaneelbol,Tuber,,,0.045,20.41,1.0,,17,
67.0,Plot16,2015-08-26,2015,2,12:01:00,14:01:00,120,Chasmanthe aethiopica,pypie,Corm,,,0.37,167.83,59.0,,18,
71.0,Plot16,2015-08-26,2015,2,12:01:00,14:01:00,120,Pelargonium triste,kaneelbol,Tuber,,,0.08,36.29,1.0,,19,
78.0,Plot17,2015-08-26,2015,2,16:26:00,17:20:00,54,Kedrostis nana,?,Tuber,,,0.25,113.4,2.0,,20,
78.0,Plot17,2015-08-26,2015,2,16:26:00,17:20:00,54,Kedrostis nana,?,Tuber,,,0.25,113.4,2.0,,21,
92.0,Plot19,2015-09-02,2015,2,12:04:00,12:31:00,27,Babiana patula,bobbejaantjie,Corm,,,0.01,4.54,1.0,,22,
